"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.60194855796067","-4.6287363904085","-7.42788773770531","-6.71704552678552","-20.6770935247419","-24.0210878247483","4.56969901362697","3.85342798012745","6.50736260316031","-0.0211537241131299","-5.00783359580265","-12.7818013405393","-1.12731628267456","-25.279443286065","11.0568722640362","16.0803025894676","-17.526618705036","-8.19071310116085","12.1556781148158","4.50346715007561","12.8086334507692","9.87609485152745","0.00407000407000378","6.87010954616587","-19.2474877307782","-10.2191060473269","3.58386599074278","-12.1429132283578","-4.85510495193791","3.73586397918396","4.55775718599237","0.954621030003385","-0.460233173941377","","","",
"Africa Eastern and Southern","AFE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","-2.69339115744371","1.47183064886517","-5.91585360700476","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.35798854942128","2.23601792155674","-3.64331157543083","-12.6195276392874","-25.8706980173329","-25.2900733285252","-15.7724212014112","-21.912668651173","-14.9502033865154","-18.9559479529849","-21.5852670723455","-20.1704576794398","-15.5931196054293","",
"Africa Western and Central","AFW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.58156403269358","-4.28446388556509","5.5295284154708","-5.34823355017632","-1.2939782222291","-2.09729209554751","-5.465973","-8.84439959377916","-11.5883584424603","-7.65604828196431","-5.32696076591876","43.3986736530575","-11.5519926947846","-28.6975731367781","-27.7982714285714","8.71502532015652","-16.012978916934","-0.981927016546037","-4.03958224542819","2.89247684338395","13.8970921801467","20.4078149120781","16.2123883977719","8.12554754936237","-10.7693887074464","8.95703976588897","11.7046899595455","10.8089626800402","5.95792428066991","-2.57186260874095","-8.8411388918829","-3.05090780260243","-0.518217605550058","7.3037696598072","5.7454219491991","1.49362440967855","",
"Albania","ALB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","-1.51291794065729","-1.91876847948004","-0.1525752133222","0.249904333497333","-1.3211544989028","-1.74427120088412","-5.83174096323551","-15.2788523176905","-7.77398715257512","1.25704931694863","-8.36278863618895","-0.480615551651797","-3.35350086882662","-12.0536114950924","-2.55580935849998","-4.83792386732012","-4.49092085179739","-5.542947808941","-9.37243799545941","-7.24966532306394","-4.98178261667359","-7.09724458992434","-7.5415777369357","-10.7781030969354","-15.6285289440748","-15.380484534115","-11.3658694605048","-12.9330972215394","-10.2001793445114","-9.27419068561388","-10.7753990397848","-8.6048827219801","-7.59082599857201","-7.54425011918848","-6.70491801262702","-7.91452470486419","-8.83003587740526","",
"Andorra","AND","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0109491864708","","",
"Arab World","ARB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","1.27224225640204","1.9830577094419","3.19543437679079","-0.740769310943109","-6.20306739733683","-5.98905581143537","-2.7909739553226","-2.3427783479647","-3.15455411036641","-1.07672004820033","-2.57719778348358","-3.81166877221693","-1.24557455367687","-1.7028351008922","3.22032099029614","-0.341028912950146","-2.42483853719518","-3.46617829462143","-4.26485898465452","-1.9834602735093","-2.4875930110115","-4.14468006629108","-4.8443160454196","-4.21229506178187","-3.15992237703676","-1.40694788500181","8.97078467784247","6.37990680177011","1.95058324319273","2.65363142179073","2.79449564264943","2.1036160391819","1.49940141614234","2.1785669619099","-0.383118699737132","-1.00727103856271","-0.39159512386959","-2.37749566620574","-1.74400211981355","-2.96292666513535","-2.7092262729721","-4.83995717253181","-5.16055404098129","-0.820919201918784","0.850976859602788","",
"Armenia","ARM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.63799855869866","-7.89106326080447","-15.0292437935751","-20.1762879448727","-20.4782136117306","-21.9751034634072","-16.9355704119467","-15.7812102966465","-10.4398165717153","-6.2201045971038","-6.18119850537565","-2.20435917633131","-2.52832391913202","-2.39537307018263","-7.3566009937396","-14.2246479360543","-16.4837122757881","-13.6219495016022","-10.4403286979452","-9.96233223726517","-7.31624569547426","-7.76786653784116","-2.69795490057304","-1.02289269763472","-1.5082334793193","-7.0305180161644","-7.35907470455443","-3.78686617060816","",
"American Samoa","ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","-12.3876156628496","-2.50343250519646","-17.876791138604","-14.3040806092767","-22.1182470043923","-25.3088656719854","-4.99604453373648","0.287945387637902","-9.58808886155898","-40.7261836754071","-33.005184483202","-11.2977357381846","-18.6073650564112","-6.74367427875896","-6.41929556131353","-1.97691497411094","2.81320719461305","-1.0763701255451","-0.0898207434591251","-9.37951106617496","-6.96044447588523","-6.42574368264113","-7.88643971692914","-8.08031749731086","-7.10757414519039","-10.1188920471342","-11.3918392315776","-10.3401452117571","-16.7643290369298","-25.2027917355848","-29.3667368703184","-26.2155415645046","-13.7605423806494","-14.5474898838945","-10.3453829249712","-13.9023718926126","-17.3007972638727","0.266640583293098","2.19446051698316","-2.42756962384755","-8.03782818321102","-14.5498402128912","-7.51553690594242","-18.3548168423273","",
